_date,total_clones,unique_clones
2020-12-28,1,1
2020-12-29,3,3
2020-12-30,4,4
2020-12-31,7,7
2021-01-01,6,6
2021-01-02,6,6
2021-01-03,3,3
2021-01-04,1,1
2021-01-05,3,3
2021-01-06,2,2
2021-01-07,4,4
2021-01-08,3,3
2021-01-09,13,9
2021-01-10,5,5
2021-01-11,3,3
2021-01-12,8,8
2021-01-13,1,1
2021-01-14,7,6
2021-01-15,7,6
2021-01-16,4,3
2021-01-17,3,3
2021-01-18,4,4
2021-01-19,6,6
2021-01-20,3,3
2021-01-21,4,4
2021-01-22,2,2
2021-01-23,4,3
2021-01-24,6,5
2021-01-25,8,6
2021-01-26,6,5
2021-01-27,4,4
2021-01-28,7,5
2021-01-29,1,1
2021-01-30,2,2
2021-01-31,4,4
2021-02-01,3,3
2021-02-02,2,2
2021-02-03,1,1
2021-02-04,5,5
2021-02-05,2,2
2021-02-06,14,5
2021-02-07,12,7
2021-02-08,6,6
2021-02-09,1,1
2021-02-10,9,8
2021-02-11,3,3
2021-02-12,1,1
2021-02-13,2,2
2021-02-14,11,11
2021-02-15,4,4
2021-02-16,2,2
2021-02-17,2,1
2021-02-19,1,1
2021-02-20,3,2
2021-02-21,7,6
2021-02-22,1,1
2021-02-23,4,4
2021-02-24,4,3
2021-02-25,2,2
2021-02-27,2,2
2021-02-28,2,2
2021-03-01,3,3
2021-03-02,1,1
2021-03-03,1,1
2021-03-04,1,1
2021-03-05,1,1
2021-03-06,3,3
2021-03-07,4,4
2021-03-08,1,1
2021-03-09,3,3
2021-03-10,4,2
2021-03-11,2,2
2021-03-12,4,4
2021-03-13,1,1
2021-03-14,2,2
2021-03-15,1,1
2021-03-16,1,1
2021-03-17,1,1
2021-03-18,2,2
2021-03-19,1,1
2021-03-20,2,2
2021-03-21,6,6
2021-03-22,2,2
2021-03-23,2,2
2021-03-24,4,4
2021-03-25,2,2
2021-03-26,2,2
2021-03-27,3,1
2021-03-28,1,1
2021-03-29,2,2
2021-03-30,2,2
2021-03-31,1,1
2021-04-02,1,1
2021-04-03,2,2
2021-04-04,4,4
2021-04-05,2,2
2021-04-06,2,2
2021-04-07,3,3
2021-04-08,5,5
2021-04-10,3,3
2021-04-12,3,3
2021-04-13,1,1
2021-04-14,3,3
2021-04-16,1,1
2021-04-17,4,4
2021-04-18,3,2
2021-04-19,1,1
2021-04-20,2,2
2021-04-21,6,6
2021-04-22,3,2
2021-04-23,1,1
2021-04-24,2,2
2021-04-25,2,2
2021-04-26,6,6
2021-04-27,1,1
2021-04-29,3,3
2021-04-30,3,3
2021-05-01,5,5
2021-05-02,1,1
2021-05-03,1,1
2021-05-04,2,2
2021-05-05,2,2
2021-05-06,1,1
2021-05-07,1,1
2021-05-08,1,1
2021-05-09,6,6
2021-05-10,2,2
2021-05-11,1,1
2021-05-13,4,3
2021-05-14,3,3
2021-05-16,5,4
2021-05-17,4,4
2021-05-21,3,3
2021-05-22,1,1
2021-05-23,3,2
2021-05-24,2,2
2021-05-25,1,1
2021-05-26,1,1
2021-05-27,2,2
2021-05-28,1,1
2021-05-29,1,1
2021-05-30,2,2
2021-05-31,5,3
2021-06-01,2,2
2021-06-02,1,1
2021-06-03,50,25
2021-06-04,3,3
2021-06-06,8,5
2021-06-07,2,2
2021-06-09,4,4
2021-06-11,4,4
2021-06-12,4,3
2021-06-13,5,5
2021-06-14,3,3
2021-06-15,3,3
2021-06-17,1,1
2021-06-18,1,1
2021-06-19,2,2
2021-06-20,1,1
2021-06-21,2,2
2021-06-24,2,2
2021-06-25,1,1
2021-06-26,2,2
2021-06-27,1,1
2021-06-28,1,1
2021-06-30,1,1
2021-07-01,3,3
2021-07-02,1,1
2021-07-03,3,2
2021-07-04,1,1
2021-07-05,2,2
2021-07-06,1,1
2021-07-07,4,4
2021-07-08,3,3
2021-07-09,3,3
2021-07-10,1,1
2021-07-11,4,4
2021-07-12,4,2
2021-07-14,4,4
2021-07-16,2,2
2021-07-17,5,5
2021-07-18,1,1
2021-07-19,2,2
2021-07-20,3,3
2021-07-21,1,1
2021-07-22,1,1
2021-07-23,3,3
2021-07-24,2,2
2021-07-25,2,2
2021-07-26,2,2
2021-07-27,2,1
2021-07-28,3,3
2021-07-30,1,1
2021-07-31,2,2
2021-08-01,3,3
2021-08-02,7,7
2021-08-03,3,2
2021-08-04,1,1
2021-08-06,8,5
2021-08-07,6,2
2021-08-08,2,2
2021-08-09,4,4
2021-08-10,1,1
2021-08-12,3,3
2021-08-13,1,1
2021-08-14,2,2
2021-08-18,4,3
2021-08-19,3,3
2021-08-21,1,1
2021-08-22,2,2
2021-08-23,1,1
2021-08-24,1,1
2021-08-25,1,1
2021-08-26,1,1
2021-08-28,1,1
2021-08-30,1,1
2021-09-01,1,1
2021-09-02,1,1
2021-09-16,3,3
2021-09-17,2,2
2021-09-18,2,2
2021-09-19,8,7
2021-09-20,2,2
2021-09-21,1,1
2021-09-22,2,2
2021-09-23,1,1
2021-09-24,1,1
2021-09-25,2,2
2021-09-28,4,1
2021-09-29,2,2
2021-09-30,1,1
2021-10-01,2,2
2021-10-03,1,1
2021-10-04,1,1
2021-10-05,2,2
2021-10-06,2,1
2021-10-07,3,1
2021-10-08,4,4
2021-10-09,2,2
2021-10-10,3,3
2021-10-12,1,1
2021-10-13,5,5
2021-10-14,2,2
2021-10-16,2,2
2021-10-17,1,1
2021-10-18,1,1
2021-10-19,3,2
2021-10-20,6,2
2021-10-21,9,2
2021-10-22,7,2
2021-10-25,6,2
2021-10-26,1,1
2021-10-27,3,2
2021-10-28,1,1
2021-10-29,5,2
2021-10-30,1,1
2021-10-31,2,2
2021-11-02,2,2
2021-11-03,1,1
2021-11-05,2,2
2021-11-06,5,4
2021-11-07,2,2
2021-11-09,1,1
2021-11-10,2,1
2021-11-11,2,2
2021-11-12,1,1
2021-11-13,1,1
2021-11-14,6,5
2021-11-15,6,4
2021-11-18,4,2
2021-11-19,1,1
2021-11-20,2,2
2021-11-21,1,1
2021-11-22,2,2
2021-11-23,1,1
2021-11-24,3,3
2021-11-25,3,3
2021-11-27,2,2
2021-11-28,3,2
2021-11-29,2,2
2021-11-30,2,2
2021-12-01,2,2
2021-12-02,1,1
2021-12-04,6,6
2021-12-05,2,2
2021-12-06,2,2
2021-12-07,2,2
2021-12-08,5,3
2021-12-09,5,4
2021-12-11,1,1
2021-12-12,2,2
2021-12-13,1,1
2021-12-14,2,2
2021-12-16,1,1
2021-12-17,2,2
2021-12-18,1,1
2021-12-19,3,3
2021-12-20,1,1
2021-12-21,1,1
2021-12-22,3,3
2021-12-23,1,1
2021-12-24,5,5
2021-12-25,1,1
2021-12-26,1,1
2021-12-27,1,1
2021-12-28,4,4
2021-12-29,4,3
2021-12-30,2,2
2021-12-31,4,4
2022-01-01,5,3
2022-01-02,4,4
2022-01-03,5,4
2022-01-04,2,2
2022-01-05,5,5
2022-01-06,2,2
2022-01-07,4,4
2022-01-08,5,4
2022-01-09,3,3
2022-01-10,2,2
2022-01-11,5,5
2022-01-12,3,3
2022-01-13,4,3
2022-01-14,4,4
2022-01-15,1,1
2022-01-16,2,2
2022-01-17,3,3
2022-01-18,4,3
2022-01-19,2,2
2022-01-20,3,2
2022-01-21,3,2
2022-01-22,2,2
2022-01-23,2,2
2022-01-24,2,2
2022-01-26,14,10
2022-01-27,4,4
2022-01-29,3,3
2022-01-30,3,3
2022-01-31,2,1
2022-02-01,1,1
2022-02-02,4,3
2022-02-03,4,4
2022-02-05,1,1
2022-02-07,4,4
2022-02-10,2,2
2022-02-12,1,1
2022-02-14,3,3
2022-02-16,2,2
2022-02-17,1,1
2022-02-19,2,2
2022-02-21,1,1
2022-02-22,2,2
2022-02-23,1,1
2022-02-25,1,1
2022-02-26,1,1
2022-02-27,1,1
2022-02-28,2,2
2022-03-02,1,1
2022-03-03,1,1
2022-03-04,1,1
2022-03-07,3,3
2022-03-09,1,1
2022-03-10,1,1
2022-03-11,1,1
2022-03-14,1,1
2022-03-15,2,2
2022-03-16,3,2
2022-03-17,3,3
2022-03-20,1,1
2022-03-21,2,2
2022-03-22,2,2
2022-03-23,1,1
2022-03-24,1,1
2022-03-25,1,1
2022-03-26,1,1
2022-03-27,1,1
2022-03-28,2,2
2022-03-31,1,1
2022-04-02,1,1
2022-04-03,1,1
2022-04-04,1,1
2022-04-06,1,1
2022-04-07,1,1
2022-04-08,1,1
2022-04-11,2,2
2022-04-14,4,4
2022-04-15,1,1
2022-04-18,1,1
2022-04-20,1,1
2022-04-21,1,1
2022-04-25,1,1
2022-04-26,1,1
2022-04-28,1,1
2022-04-29,2,2
2022-05-02,3,3
2022-05-04,1,1
2022-05-05,3,2
2022-05-08,1,1
2022-05-09,2,2
2022-05-10,1,1
2022-05-12,1,1
2022-05-16,3,3
2022-05-18,1,1
2022-05-19,2,2
2022-05-20,1,1
2022-05-21,2,1
2022-05-23,1,1
2022-05-26,5,4
2022-05-30,3,3
2022-05-31,1,1
2022-06-02,3,2
2022-06-03,1,1
2022-06-05,1,1
2022-06-06,4,4
2022-06-07,3,2
2022-06-08,1,1
2022-06-09,2,2
2022-06-11,2,2
2022-06-13,2,1
2022-06-16,1,1
2022-06-17,3,2
2022-06-20,3,3
2022-06-23,1,1
2022-06-24,1,1
2022-06-26,4,2
2022-06-27,3,3
2022-06-30,1,1
2022-07-01,1,1
2022-07-04,2,2
2022-07-05,3,2
2022-07-07,1,1
2022-07-10,1,1
2022-07-11,3,3
2022-07-13,3,2
2022-07-14,2,2
2022-07-18,2,2
2022-07-20,1,1
2022-07-21,1,1
2022-07-22,2,1
2022-07-25,2,2
2022-07-26,2,2
2022-07-28,1,1
2022-07-31,2,1
2022-08-01,3,2
2022-08-02,1,1
2022-08-03,1,1
2022-08-04,2,2
2022-08-08,1,1
2022-08-09,4,3
2022-08-11,1,1
2022-08-15,2,2
2022-08-16,1,1
2022-08-18,1,1
2022-08-19,2,1
2022-08-22,1,1
2022-08-25,1,1
2022-08-26,1,1
2022-08-27,1,1
2022-08-28,1,1
2022-08-29,1,1
2022-08-30,2,1
2022-09-01,2,2
2022-09-02,1,1
2022-09-05,1,1
2022-09-08,1,1
2022-09-09,1,1
2022-09-12,1,1
2022-09-13,2,1
2022-09-15,1,1
2022-09-19,1,1
2022-09-22,2,2
2022-09-23,1,1
2022-09-24,1,1
2022-09-26,2,2
2022-09-29,2,2
2022-10-03,1,1
2022-10-04,1,1
2022-10-06,2,2
2022-10-10,1,1
2022-10-13,1,1
2022-10-14,1,1
2022-10-16,1,1
2022-10-17,1,1
2022-10-19,1,1
2022-10-20,1,1
2022-10-21,1,1
2022-10-22,3,3
2022-10-24,1,1
2022-10-25,1,1
2022-10-27,1,1
2022-10-28,1,1
2022-10-29,1,1
2022-10-31,2,1
2022-11-02,1,1
2022-11-04,1,1
2022-11-05,1,1
2022-11-07,2,2
2022-11-09,2,2
2022-11-10,1,1
2022-11-11,3,2
2022-11-14,1,1
2022-11-16,2,2
2022-11-17,1,1
2022-11-18,1,1
